[2026-09-03 19:27:57] OK | History saved: 2026-09-03 19:27:57<br>Download: 21.58 Mbps<br>Upload: 1.61 Mbps<br>CPU: 17 %<br>Memory: 18.094635009766 %<br>Disk: 19.265747070312 %
[2026-09-03 19:28:07] OK | History saved: 2026-09-03 19:28:07<br>Download: 50.46 Mbps<br>Upload: 1.81 Mbps<br>CPU: 18 %<br>Memory: 18.065643310547 %<br>Disk: 19.265747070312 %
[2026-09-03 19:27:53] FAILED | Router Offline
[2026-09-03 19:28:17] OK | History saved: 2026-09-03 19:28:17<br>Download: 47.31 Mbps<br>Upload: 2.78 Mbps<br>CPU: 14 %<br>Memory: 18.065643310547 %<br>Disk: 19.265747070312 %
[2026-09-03 19:28:27] OK | History saved: 2026-09-03 19:28:28<br>Download: 35.32 Mbps<br>Upload: 2.12 Mbps<br>CPU: 13 %<br>Memory: 18.065643310547 %<br>Disk: 19.265747070312 %
[2026-09-03 19:28:18] FAILED | Router Offline
[2026-09-03 19:28:38] OK | History saved: 2026-09-03 19:28:38<br>Download: 79.33 Mbps<br>Upload: 2.25 Mbps<br>CPU: 27 %<br>Memory: 18.052673339844 %<br>Disk: 19.265747070312 %
[2026-09-03 19:28:48] OK | History saved: 2026-09-03 19:28:48<br>Download: 33.78 Mbps<br>Upload: 1.75 Mbps<br>CPU: 20 %<br>Memory: 18.023681640625 %<br>Disk: 19.265747070312 %
[2026-09-03 19:28:58] OK | History saved: 2026-09-03 19:28:58<br>Download: 19.78 Mbps<br>Upload: 1.11 Mbps<br>CPU: 10 %<br>Memory: 18.023681640625 %<br>Disk: 19.265747070312 %
[2026-09-03 19:28:43] FAILED | Router Offline
[2026-09-03 19:29:08] OK | History saved: 2026-09-03 19:29:08<br>Download: 59.44 Mbps<br>Upload: 3.44 Mbps<br>CPU: 18 %<br>Memory: 18.013763427734 %<br>Disk: 19.308471679688 %
[2026-09-03 19:29:18] OK | History saved: 2026-09-03 19:29:19<br>Download: 38.46 Mbps<br>Upload: 1.56 Mbps<br>CPU: 7 %<br>Memory: 18.013763427734 %<br>Disk: 19.308471679688 %
[2026-09-03 19:29:08] FAILED | Router Offline
[2026-09-03 19:29:29] OK | History saved: 2026-09-03 19:29:29<br>Download: 39.38 Mbps<br>Upload: 1.6 Mbps<br>CPU: 10 %<br>Memory: 18.013763427734 %<br>Disk: 19.308471679688 %
[2026-09-03 19:29:39] OK | History saved: 2026-09-03 19:29:39<br>Download: 36.86 Mbps<br>Upload: 1.68 Mbps<br>CPU: 12 %<br>Memory: 18.013763427734 %<br>Disk: 19.308471679688 %
[2026-09-03 19:29:34] FAILED | Router Offline
[2026-09-03 19:29:49] OK | History saved: 2026-09-03 19:29:49<br>Download: 51.97 Mbps<br>Upload: 1.7 Mbps<br>CPU: 10 %<br>Memory: 18.013763427734 %<br>Disk: 19.308471679688 %
